Cancer id,Cancer label,Population code (ISO/UN),Population,Country,Sex,Type,ASR (World) per 100 000,Corrected Country
20,Breast,616,Poland,POL,0,0,65.96,Poland
20,Breast,620,Portugal,PRT,0,0,88.75,Portugal
20,Breast,624,Guinea-Bissau,GNB,0,0,27.17,Guinea-Bissau
20,Breast,626,Timor-Leste,TLS,0,0,26.38,Timor-Leste
20,Breast,630,Puerto Rico,PRI,0,0,62.32,Puerto Rico
20,Breast,634,Qatar,QAT,0,0,39.03,Qatar
20,Breast,638,"France, La Réunion",REU,0,0,55.94,Réunion
20,Breast,642,Romania,ROU,0,0,69.22,Romania
20,Breast,643,Russian Federation,RUS,0,0,57.67,Russia
20,Breast,646,Rwanda,RWA,0,0,16.2,Rwanda
20,Breast,662,Saint Lucia,LCA,0,0,51.68,Saint Lucia
20,Breast,678,Sao Tome and Principe,STP,0,0,19.91,Sao Tome and Principe
20,Breast,682,Saudi Arabia,SAU,0,0,25.28,Saudi Arabia
20,Breast,686,Senegal,SEN,0,0,29.89,Senegal
20,Breast,688,Serbia,SRB,0,0,60.5,Serbia
20,Breast,694,Sierra Leone,SLE,0,0,7.02,Sierra Leone
20,Breast,702,Singapore,SGP,0,0,72.61,Singapore
20,Breast,703,Slovakia,SVK,0,0,67.3,Slovakia
20,Breast,704,Viet Nam,VNM,0,0,37.96,Vietnam
20,Breast,705,Slovenia,SVN,0,0,82.27,Slovenia
20,Breast,706,Somalia,SOM,0,0,38.62,Somalia
20,Breast,710,South Africa,ZAF,0,0,47.8,South Africa
20,Breast,716,Zimbabwe,ZWE,0,0,35.84,Zimbabwe
20,Breast,724,Spain,ESP,0,0,80.96,Spain
20,Breast,728,South Sudan,SSD,0,0,27.99,South Sudan
20,Breast,729,Sudan,SDN,0,0,39.94,Sudan
20,Breast,740,Suriname,SUR,0,0,46.38,Suriname
20,Breast,748,Eswatini,SWZ,0,0,26.17,Eswatini
20,Breast,752,Sweden,SWE,0,0,81.41,Sweden
20,Breast,756,Switzerland,CHE,0,0,77.42,Switzerland
20,Breast,760,Syrian Arab Republic,SYR,0,0,46.21,Syrian Arab Republic
20,Breast,762,Tajikistan,TJK,0,0,19.47,Tajikistan
20,Breast,764,Thailand,THA,0,0,37.44,Thailand
20,Breast,768,Togo,TGO,0,0,32.93,Togo
20,Breast,780,Trinidad and Tobago,TTO,0,0,54,Trinidad and Tobago
20,Breast,784,United Arab Emirates,ARE,0,0,57.05,United Arab Emirates
20,Breast,788,Tunisia,TUN,0,0,36.16,Tunisia
20,Breast,792,Türkiye,TUR,0,0,46.77,Turkey
20,Breast,795,Turkmenistan,TKM,0,0,31.13,Turkmenistan
20,Breast,800,Uganda,UGA,0,0,23.34,Uganda
20,Breast,804,Ukraine,UKR,0,0,43.08,Ukraine
20,Breast,807,North Macedonia,MKD,0,0,65.28,North Macedonia
20,Breast,818,Egypt,EGY,0,0,55.4,Egypt
20,Breast,826,United Kingdom,GBR,0,0,94.03,United Kingdom
20,Breast,834,"Tanzania, United Republic of",TZA,0,0,25.12,United Republic of Tanzania
20,Breast,840,United States of America,USA,0,0,95.91,United States of America
20,Breast,854,Burkina Faso,BFA,0,0,21.38,Burkina Faso
20,Breast,858,Uruguay,URY,0,0,75.05,Uruguay
20,Breast,860,Uzbekistan,UZB,0,0,27.79,Uzbekistan
20,Breast,862,Venezuela,VEN,0,0,47.1,Venezuela
20,Breast,882,Samoa,WSM,0,0,88.75,Samoa
20,Breast,887,Yemen,YEM,0,0,25.35,Yemen
20,Breast,894,Zambia,ZMB,0,0,22.32,Zambia
